FromDate,ToDate
1-Jan-00,30-Jun-00
1-Jul-00,31-Dec-00
1-Jan-01,30-Jun-01
1-Jul-01,31-Dec-01
1-Jan-02,30-Jun-02
1-Jul-02,31-Dec-02
1-Jan-03,30-Jun-03
1-Jul-03,31-Dec-03
1-Jan-04,30-Jun-04
1-Jul-04,31-Dec-04
1-Jan-05,30-Jun-05
1-Jul-05,31-Dec-05
1-Jan-06,30-Jun-06
1-Jul-06,31-Dec-06
1-Jan-07,30-Jun-07
1-Jul-07,31-Dec-07
1-Jan-08,30-Jun-08
1-Jul-08,31-Dec-08
1-Jan-09,30-Jun-09
1-Jul-09,31-Dec-09
1-Jan-10,30-Jun-10
1-Jul-10,31-Dec-10
1-Jan-11,30-Jun-11
1-Jul-11,31-Dec-11
1-Jan-12,30-Jun-12
1-Jul-12,31-Dec-12
1-Jan-13,30-Jun-13
1-Jul-13,31-Dec-13
1-Jan-14,30-Jun-14
1-Jul-14,31-Dec-14
1-Jan-15,30-Jun-15
1-Jul-15,31-Dec-15
1-Jan-16,30-Jun-16
1-Jul-16,31-Dec-16
1-Jan-17,30-Jun-17
1-Jul-17,31-Dec-17
1-Jan-18,30-Jun-18
1-Jul-18,31-Dec-18
1-Jan-19,30-Jun-19
1-Jul-19,31-Dec-19
1-Jan-20,30-Jun-20
1-Jul-20,31-Dec-20
1-Jan-21,30-Jun-21
1-Jul-21,31-Dec-21
1-Jan-22,30-Jun-22
1-Jul-22,31-Dec-22
1-Jan-23,30-Jun-23
1-Jul-23,31-Dec-23
1-Jan-24,30-Jun-24
1-Jul-24,31-Dec-24
1-Jan-25,30-Jun-25
1-Jul-25,30-Oct-25
